Source	Target	LetterNumber	href	tu	vous	wordcount	commas	meanSentenceLength	medianSentenceLength
MARÉCHALE DE ***	MARQUISE DE MERTEUIL	87	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_86	0	8	216	13	24.0	24.0
MARQUISE DE MERTEUIL	MADAME DE VOLANGES	88	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_87	0	13	929	71	22.11904761904762	20.5
CÉCILE VOLANGES	VICOMTE DE VALMONT	89	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_88	0	13	461	42	23.05	21.5
VICOMTE DE VALMONT	CHEVALIER DANCENY	90	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_89	0	16	397	23	23.352941176470587	26.0
MADAME TOURVEL	VICOMTE DE VALMONT	91	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_90	0	29	791	75	35.95454545454545	32.0
VICOMTE DE VALMONT	LA PRÉSIDENTE TOURVEL	92	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_91	0	27	634	59	30.19047619047619	19.0
CHEVALIER DANCENY	VICOMTE DE VALMONT	93	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_92	0	12	529	36	20.346153846153847	14.5
CHEVALIER DANCENY	CÉCILE VOLANGES	94	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_93	0	26	499	35	29.352941176470587	31.0
CÉCILE VOLANGES	CHEVALIER DANCENY	95	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_94	0	34	545	37	28.68421052631579	19.0
CÉCILE VOLANGES	VICOMTE DE VALMONT	96	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_95	0	21	359	24	23.933333333333334	24.0
VICOMTE DE VALMONT	MARQUISE DE MERTEUIL	97	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_96	0	29	2053	177	29.32857142857143	21.5
CÉCILE VOLANGES	MARQUISE DE MERTEUIL	98	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_97	0	20	1101	80	22.46938775510204	18.0
MADAME DE VOLANGES	MARQUISE DE MERTEUIL	99	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_98	0	7	1091	72	32.088235294117645	25.5
VICOMTE DE VALMONT	MARQUISE DE MERTEUIL	100	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_99	0	18	2248	184	29.194805194805195	25.0
VICOMTE DE VALMONT	MARQUISE DE MERTEUIL	101	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_100	0	9	1322	100	36.72222222222222	27.5
VICOMTE DE VALMONT	AZOLAN	102	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_101	0	34	742	49	25.586206896551722	18.0
MADAME TOURVEL	MADAME DE ROSEMONDE	103	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_102	0	15	927	60	29.903225806451612	15.0
